"date","close","volume","open","high","low"
"16:00","41.52","57,514,578","40.11","42.33","40"
"2019/07/25","38.1200","21255430.0000","39.0000","39.2300","37.9100"
"2019/07/24","38.7300","12488470.0000","38.0000","38.8000","37.7600"
"2019/07/23","37.9000","10741460.0000","37.8700","38.0200","36.8200"
"2019/07/22","37.5800","8415150.0000","36.9200","37.6900","36.8300"
"2019/07/19","36.7700","10842400.0000","37.9600","38.0900","36.7300"
"2019/07/18","37.6600","11125890.0000","37.3900","37.7950","37.0000"
"2019/07/17","37.7000","7926602.0000","37.8600","38.2300","37.5600"
"2019/07/16","37.9900","10979580.0000","38.7800","38.7900","37.8200"
"2019/07/15","38.6800","12738670.0000","38.0000","38.9700","37.9435"
"2019/07/12","37.8400","8048674.0000","37.3700","37.9000","37.1700"
"2019/07/11","37.2100","8549479.0000","37.6600","37.8700","36.9700"
"2019/07/10","37.4700","11831810.0000","37.9000","38.0300","36.8800"
"2019/07/09","37.6500","14217970.0000","36.3500","37.6700","36.2900"
"2019/07/08","36.4500","8058474.0000","36.0400","36.6400","35.8700"
"2019/07/05","36.2500","6084815.0000","36.0000","36.3500","35.6000"
"2019/07/03","36.0200","5372634.0000","36.2900","36.3900","35.9400"
"2019/07/02","36.2200","8398931.0000","36.1700","36.6000","35.8850"
"2019/07/01","36.0800","14416770.0000","35.5000","36.2500","35.2240"
"2019/06/28","34.9000","15505290.0000","34.7500","34.9900","34.2800"
"2019/06/27","34.7500","12655890.0000","35.4400","35.6400","34.6100"
"2019/06/26","35.2200","8744768.0000","34.9800","35.3800","34.9200"
"2019/06/25","34.7200","11196390.0000","35.5200","35.7300","34.5700"
"2019/06/24","35.5800","9216830.0000","35.1900","35.6700","34.8200"
"2019/06/21","35.0200","12853620.0000","35.5000","35.7500","34.9900"
"2019/06/20","35.4400","19676060.0000","36.3500","36.6500","35.3300"
"2019/06/19","36.2900","12059710.0000","36.6300","36.6800","35.8100"
"2019/06/18","36.6500","12705490.0000","36.7100","37.5100","36.5500"
"2019/06/17","36.4400","7895968.0000","36.2600","36.6800","36.1100"
"2019/06/14","36.1500","7791057.0000","36.3600","36.4900","36.0400"
"2019/06/13","36.3400","21679420.0000","37.0400","37.0400","35.7600"
"2019/06/12","37.4900","6795451.0000","37.1300","37.6169","37.0500"
"2019/06/11","37.2100","9528602.0000","38.0900","38.2600","36.8540"
"2019/06/10","37.6400","10036390.0000","38.3500","38.6400","37.6200"
"2019/06/07","37.9300","15399730.0000","36.8700","38.3100","36.8000"
"2019/06/06","36.5900","8862950.0000","36.2600","36.7500","35.9600"
"2019/06/05","36.3300","12798680.0000","36.5000","36.7100","35.9543"
"2019/06/04","36.1000","15357130.0000","35.1800","36.1500","34.9700"
"2019/06/03","34.4300","22217080.0000","36.4500","36.9000","34.0400"
"2019/05/31","36.4400","8556067.0000","36.6200","36.9600","36.3000"
"2019/05/30","37.1400","7413128.0000","37.0000","37.2933","36.6000"
"2019/05/29","36.8500","12270330.0000","37.0200","37.4000","36.5237"
"2019/05/28","37.2900","11770270.0000","37.4100","38.0400","37.2300"
"2019/05/24","37.4100","9303870.0000","37.4700","37.8500","37.2700"
"2019/05/23","37.1900","18398790.0000","38.1500","38.2900","36.8000"
"2019/05/22","38.5800","21105430.0000","37.4100","39.3200","37.2400"
"2019/05/21","37.4700","8861388.0000","37.4700","37.8600","37.3300"
"2019/05/20","37.1500","9411902.0000","37.1200","37.7250","36.9200"
"2019/05/17","37.5000","9090265.0000","37.8300","38.1250","37.4700"
"2019/05/16","38.3000","10104400.0000","38.1100","38.7200","38.0500"
"2019/05/15","37.9000","11523060.0000","36.6700","38.1400","36.6425"
"2019/05/14","36.9300","11125110.0000","37.0400","37.5200","36.6000"
"2019/05/13","36.5900","16829700.0000","37.5000","37.6434","36.3700"
"2019/05/10","38.4500","12258960.0000","38.6800","39.1600","37.8600"
"2019/05/09","38.7900","10010670.0000","38.1100","39.0200","37.8203"
"2019/05/08","38.5800","9168440.0000","38.4500","39.1500","38.3300"
"2019/05/07","38.6200","19283130.0000","39.9000","40.1500","38.1200"
"2019/05/06","40.2300","14517360.0000","39.6900","40.4400","39.4500"
"2019/05/03","40.8000","15577110.0000","40.4800","40.8200","39.9600"
"2019/05/02","39.9500","13419120.0000","39.2400","39.9999","38.8400"
"2019/05/01","39.2900","14962560.0000","40.0000","40.0700","39.2600"
"2019/04/30","39.9100","22884630.0000","39.7900","40.9200","39.6500"
"2019/04/29","39.7800","19655080.0000","38.6300","39.9700","38.6300"
"2019/04/26","38.6700","15262810.0000","38.5900","39.3400","38.1800"
"2019/04/25","38.4800","26010310.0000","39.2600","40.1300","38.1900"
"2019/04/24","39.2900","30229050.0000","39.8600","39.9500","38.8000"
"2019/04/23","39.7700","104130400.0000","36.9300","40.5350","36.9100"
"2019/04/22","34.3900","19627880.0000","34.4000","34.6150","33.8200"
